replicate,seed,inv_epsilon,epsilon,checkpoint,filter,delta,errors,trajectories,p_hat,ci95_low,ci95_high,epsilon_log_inv_epsilon,normalized_error
0,20260723,30.0,0.03333333333333333,900,alf_sqrt_epsilon,0.18257418583505536,1632,20000,0.0816,0.0778858895109324,0.08547480626081597,0.11337324605540518,0.7197465260906645
0,20260723,30.0,0.03333333333333333,900,alf_0.7_over_log,0.20580987265664422,1416,20000,0.0708,0.06732709650037279,0.07443774725018744,0.11337324605540518,0.6244859564610177
0,20260723,30.0,0.03333333333333333,900,alf_epsilon_squared,0.0011111111111111111,8848,20000,0.4424,0.4355283287647766,0.44929379378888673,0.11337324605540518,3.902155185569975
0,20260723,30.0,0.03333333333333333,900,alf_delta_zero,0.0,10014,20000,0.5007,0.49377101863269607,0.5076287125168254,0.11337324605540518,4.416385853107791
0,20260723,30.0,0.03333333333333333,900,alf_delta_one,1.0,1964,20000,0.0982,0.09415259409673453,0.10240172607795113,0.11337324605540518,0.866165549780677
0,20260723,30.0,0.03333333333333333,900,lof_bayes_optimal,,1024,20000,0.0512,0.04823065586678381,0.054341715697175705,0.11337324605540518,0.45160566342943653
0,20260723,30.0,0.03333333333333333,950,alf_sqrt_epsilon,0.18257418583505536,1712,20000,0.0856,0.08180175792756672,0.08955740155573277,0.11337324605540518,0.7550282185460891
0,20260723,30.0,0.03333333333333333,950,alf_0.7_over_log,0.20580987265664422,1508,20000,0.0754,0.0718217008826845,0.07914137613615954,0.11337324605540518,0.665059902784756
0,20260723,30.0,0.03333333333333333,950,alf_epsilon_squared,0.0011111111111111111,8935,20000,0.44675,0.43987077105358063,0.45364968078639445,0.11337324605540518,3.940524026115249
0,20260723,30.0,0.03333333333333333,950,alf_delta_zero,0.0,9979,20000,0.49895,0.4920213631820236,0.5058790400936942,0.11337324605540518,4.400950112658542
0,20260723,30.0,0.03333333333333333,950,alf_delta_one,1.0,2016,20000,0.1008,0.09670390365957608,0.10504941792761786,0.11337324605540518,0.8890986498767032
0,20260723,30.0,0.03333333333333333,950,lof_bayes_optimal,,1067,20000,0.05335,0.05032034303995811,0.056551202768960154,0.11337324605540518,0.4705695731242273
0,20260723,30.0,0.03333333333333333,1000,alf_sqrt_epsilon,0.18257418583505536,1632,20000,0.0816,0.0778858895109324,0.08547480626081597,0.11337324605540518,0.7197465260906645
0,20260723,30.0,0.03333333333333333,1000,alf_0.7_over_log,0.20580987265664422,1435,20000,0.07175,0.06825498676165298,0.07540949212040063,0.11337324605540518,0.632865358419181
0,20260723,30.0,0.03333333333333333,1000,alf_epsilon_squared,0.0011111111111111111,9019,20000,0.45095,0.44406398009877457,0.4578548586383293,0.11337324605540518,3.9775698031934454
0,20260723,30.0,0.03333333333333333,1000,alf_delta_zero,0.0,9913,20000,0.49565,0.4887222438028768,0.5025794269108113,0.11337324605540518,4.371842716382816
